name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2022-11-01,19.4,15,16.9,19.4,15,16.9,13.7,82.1,4.043,100,20.83,rain,0,0,25.2,13.3,277.1,1016.5,77.6,11.7,191.5,16.2,7,10,2022-11-01T07:26:23,2022-11-01T17:52:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D9152,72505394728,KLGA,E5816,D2180,KNYC,72503014732"
"New York City,USA",2022-11-02,20.9,13.5,16.7,20.9,13.5,16.7,8.3,59.5,0,0,0,,0,0,36,15.5,1.3,1024.7,7.7,16,239,20.5,6,10,2022-11-02T07:27:34,2022-11-02T17:51:05,0.29,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,F3023,KLGA,E5816,D2180,KNYC,72503014732"
"New York City,USA",2022-11-03,19.4,11.4,14.9,19.4,11.4,14.9,7.7,63.9,0,0,0,,0,0,15.8,9.5,129,1028.7,5.3,15.9,257.3,22.4,6,10,2022-11-03T07:28:44,2022-11-03T17:49:54,0.33,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-04,21.3,11.6,15.9,21.3,11.6,15.9,12.2,79.4,0,0,0,,0,0,27,13.7,115.6,1027.6,25.9,13,247.8,21.5,6,10,2022-11-04T07:29:55,2022-11-04T17:48:46,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-05,23.9,18,20.1,23.9,18,20.1,15.4,74.9,0,0,0,,0,0,45,16.4,179.4,1023.8,60,16,210.8,17.9,6,10,2022-11-05T07:31:06,2022-11-05T17:47:38,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-06,23.2,18.7,20.7,23.2,18.7,20.7,16.3,76.1,0.08,100,4.17,rain,0,0,40,14.8,173.1,1022.7,74.3,16,176.3,15.3,3,10,2022-11-06T06:32:17,2022-11-06T16:46:33,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-07,24.5,14,21.2,24.5,14,21.2,7.9,49.4,0.134,100,4.17,rain,0,0,44.6,17.4,280,1022.4,30,16,254.3,21.7,6,10,2022-11-07T06:33:28,2022-11-07T16:45:28,0.47,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-08,14,8.6,11.2,14,6.2,10.7,-4.1,35.2,0,0,0,,0,0,48.4,19.8,8.4,1033.5,8.7,16,254.3,22,6,10,2022-11-08T06:34:39,2022-11-08T16:44:26,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-09,11.7,4.5,8.4,11.7,1.8,7.1,-1.9,49.3,0,0,0,,0,0,33.5,21.8,37.8,1036.6,6.2,16,245.7,21.6,6,10,2022-11-09T06:35:50,2022-11-09T16:43:25,0.54,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
"New York City,USA",2022-11-10,19,9,13.6,19,8.3,13.5,7.5,67,0,0,0,,0,0,26.3,12.1,239,1028,9.2,16,241.5,21.1,5,10,2022-11-10T06:37:01,2022-11-10T16:42:26,0.57,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
