name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2023-01-01T00:00:00,12.2,12.2,11,92.43,0.22,100,rain,0,0,13,3,295,1007.3,100,12.3,227,0.8,0,10,"Rain, Overcast",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T01:00:00,11.7,11.7,10.5,92.14,0.034,100,rain,0,0,14.8,9.8,220,1007.5,100,11.6,228,0.8,0,10,"Rain, Overcast",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T02:00:00,11.8,11.8,10,88.43,0.111,100,rain,0,0,16.6,14.4,235,1007.1,43.6,12.3,227,0.8,0,10,"Rain, Partially cloudy",rain,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T03:00:00,11.4,11.4,9.8,89.82,0,0,,0,0,25.9,11.8,245,1008,13.4,14.5,224,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T04:00:00,11.8,11.8,9.2,83.95,0,0,,0,0,27.7,15.2,263,1008.3,7.2,16,223,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T05:00:00,11.3,11.3,8.6,83.37,0,0,,0,0,27.7,8,250,1008.8,7.2,16,225,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T06:00:00,10.9,10.9,8.4,84.44,0,0,,0,0,27.7,8.9,250,1009.6,7.2,16,223,0.8,0,10,Clear,clear-night,"72505394728,KLGA,D2180,KNYC,72503014732"
"New York City,USA",2023-01-01T07:00:00,10.8,10.8,7.7,81.14,0,0,,0,0,25.9,9.5,260,1010.4,13.4,16,1,0,0,10,Clear,clear-night,"72505394728,KLGA,F8726,KNYC,72503014732"
"New York City,USA",2023-01-01T08:00:00,10,8.5,6.2,77.56,0,0,,0,0,25.9,10.8,300,1011,13.4,16,51,0.2,1,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2023-01-01T09:00:00,10.2,10.2,5.3,71.79,0,0,,0,0,35.3,14.6,300,1011.9,19.3,16,169,0.6,2,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2023-01-01T10:00:00,11,11,4.4,63.49,0,0,,0,0,27.7,13.7,310,1013.5,19.3,16,439,1.6,4,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2023-01-01T11:00:00,11.4,11.4,3.5,58.14,0,0,,0,0,27.7,12.8,320,1014.2,19.3,16,290,1,3,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2023-01-01T12:00:00,11,11,2.7,56.43,0,0,,0,0,29.5,14.4,298,1013.3,13.4,16,452,1.6,5,10,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732"
